Time [s],Proposed_system,Standard
668.0,70,148
669.0,67,148
670.0,67,148
671.0,67,148
672.0,66,148
673.0,64,148
674.0,64,147
675.0,63,147
676.0,63,146
677.0,64,146
678.0,65,146
679.0,65,146
680.0,64,145
681.0,63,146
682.0,63,146
683.0,65,147
684.0,66,148
685.0,65,148
686.0,64,146
687.0,65,146
688.0,65,145
689.0,65,144
690.0,66,143
691.0,66,142
692.0,66,143
693.0,65,143
694.0,65,141
695.0,64,140
696.0,64,140
697.0,64,138
698.0,64,137
699.0,64,135
700.0,64,135
701.0,64,135
702.0,64,135
703.0,64,135
704.0,64,134
705.0,62,134
706.0,63,134
707.0,62,134
708.0,62,134
709.0,61,134
710.0,61,134
711.0,61,134
712.0,59,135
713.0,56,136
714.0,55,136
715.0,53,136
716.0,52,137
717.0,52,136
718.0,51,135
719.0,51,135
720.0,51,134
721.0,50,134
722.0,52,135
723.0,51,134
724.0,49,132
725.0,50,130
726.0,52,132
727.0,52,129
728.0,52,131
729.0,52,128
730.0,52,127
731.0,55,128
732.0,55,126
733.0,54,124
734.0,56,127
735.0,55,127
736.0,56,127
737.0,57,128
738.0,57,129
739.0,57,129
740.0,57,129
741.0,55,129
742.0,54,127
743.0,54,128
744.0,55,129
745.0,55,129
746.0,55,130
747.0,56,130
748.0,56,128
749.0,56,129
750.0,58,131
751.0,58,129
752.0,59,129
753.0,60,127
754.0,62,129
755.0,64,129
756.0,64,129
757.0,65,130
758.0,64,129
759.0,63,127
760.0,63,127
761.0,62,128
762.0,63,128
763.0,64,129
764.0,66,131
765.0,67,132
766.0,66,130
767.0,65,130
768.0,66,129
769.0,64,129
770.0,64,129
771.0,64,128
772.0,64,128
773.0,63,128
774.0,65,131
775.0,66,130
776.0,67,132
777.0,68,132
778.0,69,133
779.0,69,133
780.0,69,131
781.0,71,132
782.0,70,133
783.0,71,135
784.0,71,135
785.0,71,134
786.0,71,134
787.0,71,134
788.0,71,137
789.0,72,136
790.0,72,137
791.0,72,135
792.0,72,136
793.0,72,138
794.0,72,137
795.0,72,136
796.0,71,137
797.0,71,135
798.0,71,136
799.0,70,138
800.0,71,138
801.0,72,139
802.0,73,139
803.0,73,138
804.0,74,139
805.0,72,138
806.0,72,138
807.0,72,138
808.0,71,138
809.0,71,137
810.0,69,136
811.0,69,135
812.0,68,135
813.0,68,135
814.0,67,134
815.0,67,134
816.0,67,133
817.0,67,133
818.0,66,133
819.0,66,133
820.0,66,133
821.0,66,133
822.0,67,134
823.0,66,134
824.0,66,134
825.0,65,133
826.0,65,134
827.0,63,134
828.0,64,135
829.0,65,136
830.0,65,135
831.0,63,135
832.0,64,135
833.0,64,134
834.0,63,132
835.0,64,133
836.0,63,132
837.0,61,130
838.0,62,131
839.0,59,131
840.0,58,131
841.0,57,131
842.0,58,131
843.0,57,131
844.0,56,130
845.0,56,130
846.0,57,131
847.0,57,131
848.0,57,132
849.0,56,131
850.0,56,132
851.0,58,134
852.0,59,134
853.0,58,136
854.0,58,136
855.0,59,136
856.0,59,136
857.0,58,137
858.0,58,136
859.0,58,136
860.0,58,135
861.0,59,135
862.0,58,135
863.0,58,135
864.0,58,134
865.0,57,133
866.0,56,133
867.0,55,131
868.0,54,131
869.0,53,131
870.0,53,129
871.0,52,129
872.0,51,129
873.0,48,128
874.0,48,130
875.0,46,128
876.0,46,127
877.0,43,127
878.0,42,126
879.0,40,127
880.0,40,127
881.0,40,127
882.0,39,126
883.0,39,124
884.0,39,123
885.0,38,123
886.0,38,121
887.0,39,122
888.0,39,119
889.0,38,119
890.0,38,117
891.0,39,117
892.0,40,117
893.0,40,117
894.0,39,117
895.0,39,118
896.0,40,117
897.0,40,118
898.0,40,119
899.0,40,120
900.0,41,121
901.0,41,121
902.0,41,122
903.0,42,122
904.0,42,123
905.0,43,124
906.0,43,124
907.0,43,124
908.0,43,125
909.0,44,124
910.0,44,124
911.0,44,123
912.0,44,122
913.0,44,120
914.0,46,122
915.0,46,121
916.0,47,121
917.0,47,121
918.0,45,119
919.0,47,122
920.0,48,123
921.0,49,123
922.0,50,125
923.0,51,123
924.0,52,122
925.0,53,122
926.0,53,122
927.0,54,120
928.0,55,121
929.0,54,121
930.0,54,119
931.0,54,120
932.0,55,120
933.0,54,119
934.0,54,118
935.0,54,118
936.0,54,117
937.0,55,117
938.0,52,117
939.0,52,117
940.0,52,116
941.0,48,117
942.0,46,118
943.0,46,120
944.0,46,121
945.0,48,123
946.0,46,124
947.0,48,125
948.0,47,127
949.0,50,129
950.0,48,130
951.0,48,130
952.0,48,130
953.0,47,131
954.0,48,132
955.0,49,132
956.0,50,132
957.0,51,132
958.0,51,132
959.0,50,133
960.0,52,132
961.0,52,131
962.0,52,130
963.0,52,130
964.0,52,131
965.0,53,130
966.0,54,130
967.0,56,132
968.0,56,132
969.0,57,134
